,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,K,D
0,2023-06-20 00:00:00-04:00,453.431941736192,467.0721178750184,453.431941736192,465.9801330566406,4597700,0.0,0.0,0.0,0.0
1,2023-06-21 00:00:00-04:00,465.5433267971836,475.8876137849027,463.7961026151681,473.2866516113281,4886500,0.0,0.0,0.0,0.0
2,2023-06-22 00:00:00-04:00,474.70627122028986,479.6699488991065,474.5275860948647,475.5699462890625,3179000,0.0,0.0,0.0,0.0
3,2023-06-23 00:00:00-04:00,474.8551454053629,478.7764626415329,473.0880774754984,473.5348205566406,4862000,0.0,0.0,0.0,0.0
4,2023-06-26 00:00:00-04:00,474.6665952698932,477.8135500298581,469.5639199487216,475.5798950195313,2968300,0.0,0.0,0.0,0.0
5,2023-06-27 00:00:00-04:00,474.6566323387365,479.6699345257636,474.29923180271135,479.054443359375,3693200,0.0,0.0,0.0,0.0
6,2023-06-28 00:00:00-04:00,478.4587797290898,478.6176210401578,470.5367700497948,471.00335693359375,3670100,0.0,0.0,0.0,0.0
7,2023-06-29 00:00:00-04:00,471.6287762959356,476.2251465890313,469.64330526105255,472.9789123535156,2979300,0.0,0.0,0.0,0.0
8,2023-06-30 00:00:00-04:00,474.52757071094834,478.5977923348005,471.6684876132984,477.1484069824219,3970100,0.0,0.0,0.0,0.0
9,2023-07-03 00:00:00-04:00,474.6268808198605,476.721538324991,472.8399386210592,474.4084777832031,1915700,0.0,0.0,22.284822002618938,7.428274000872979
10,2023-07-05 00:00:00-04:00,472.5719000277073,473.82275650843707,467.171416242057,467.7968444824219,5053100,0.0,0.0,16.52455244548397,10.46036681574331
11,2023-07-06 00:00:00-04:00,465.9404106290632,468.9682417704056,463.260012674258,465.9503173828125,3913600,0.0,0.0,16.481161147922684,12.467298259803101
12,2023-07-07 00:00:00-04:00,461.6220366302187,465.2057974693446,457.4724092493724,458.2268676757813,4128100,0.0,0.0,12.120387519502993,12.351661346369731
13,2023-07-10 00:00:00-04:00,456.6583260958022,459.7358121786679,455.8244319184376,459.6861572265625,4339200,0.0,0.0,13.478516418612195,12.727279703783884
14,2023-07-11 00:00:00-04:00,459.0111019078101,463.1011672636205,457.7900566491467,459.52734375,3087500,0.0,0.0,14.400909053970356,13.285156153846039
15,2023-07-12 00:00:00-04:00,459.6365392351189,461.4433251268823,447.9718970407071,448.4186401367188,7287600,0.0,0.0,10.086842810145495,12.219051705945857
16,2023-07-13 00:00:00-04:00,448.7164402742881,451.5953671283758,443.9314479543336,444.497314453125,7276800,0.0,0.0,7.268669334527636,10.56892424880645
17,2023-07-14 00:00:00-04:00,459.1897985750458,481.476722919249,456.7675215041113,476.6818237304688,11376300,0.0,0.0,33.92211988300994,18.353322793540947
18,2023-07-17 00:00:00-04:00,477.614989708611,481.0796574068066,474.8254052146449,480.56341552734375,4582000,0.0,0.0,55.13723009446842,30.61462522718344
19,2023-07-18 00:00:00-04:00,485.77526584888807,500.75567172740585,483.9585731506347,496.3677673339844,8817900,0.0,0.0,67.5175231966844,42.91559121701709
20,2023-07-19 00:00:00-04:00,503.85299431607547,510.9212360754246,498.82975500842224,500.0408935546875,4956500,0.0,0.0,72.93108456249563,52.92075566550993
21,2023-07-20 00:00:00-04:00,502.9793680353922,504.9846828228068,496.8938946218107,500.5769348144531,2963100,0.0,0.0,76.80685332056882,60.88278821719622
22,2023-07-21 00:00:00-04:00,501.3810518337252,506.70212986415737,500.8549032308994,502.8503112792969,2886800,0.0,0.0,80.52190464030197,67.42916035823147
23,2023-07-24 00:00:00-04:00,501.6590405522829,506.0767258540556,500.90458213788935,504.9847106933594,2279000,0.0,0.0,84.06065764972345,72.97299278872879
24,2023-07-25 00:00:00-04:00,506.295116506514,508.7769553129185,503.5948746733106,507.2183532714844,2730600,0.0,0.0,87.53126068740715,77.8257487549549
25,2023-07-26 00:00:00-04:00,507.82392348202063,512.1125177945942,502.9495885671505,504.30963134765625,3697200,0.0,0.0,86.98796367329896,80.87982039440291
26,2023-07-27 00:00:00-04:00,504.8754862588959,506.79145844881697,499.4750028676218,501.5597534179688,3028300,0.0,0.0,81.89151850490398,81.21705309790326
27,2023-07-28 00:00:00-04:00,501.53990188439695,503.7934308965602,493.6675165083667,499.2566223144531,2930000,0.0,0.0,72.70672667288326,78.38027762289659
28,2023-07-31 00:00:00-04:00,499.3459535174798,504.1905075758853,495.4345732471713,502.69146728515625,2441600,0.0,0.0,64.77900355497958,73.84651960025758
29,2023-08-01 00:00:00-04:00,503.8132935634597,506.3348503530093,498.8396787441402,501.0733337402344,2161200,0.0,0.0,56.56960536164978,68.08754818738831
30,2023-08-02 00:00:00-04:00,505.9873647230711,506.7616972093533,499.3360246849901,501.13287353515625,3220500,0.0,0.0,51.204272023347826,62.45978946604148
31,2023-08-03 00:00:00-04:00,499.2367839426234,502.3241768909765,497.4002171576594,501.19244384765625,2442900,0.0,0.0,47.73503707231572,57.55153866813289
32,2023-08-04 00:00:00-04:00,506.2951182620624,507.1885741762893,498.10505017252905,499.0779418945313,2410500,0.0,0.0,41.60094006479812,52.2346724670213
33,2023-08-07 00:00:00-04:00,502.0660465765919,509.8689331345248,500.98396850739647,507.02972412109375,2430900,0.0,0.0,51.88179898950512,52.1170479745159
34,2023-08-08 00:00:00-04:00,499.3459715902853,504.4784276105772,496.3876088043653,502.1851806640625,2422600,0.0,0.0,52.112391475842045,52.11549580829127
35,2023-08-09 00:00:00-04:00,500.3387175943315,502.0561610037036,497.241387523232,498.4624328613281,1916900,0.0,0.0,44.60681467337013,49.61260209665089
36,2023-08-10 00:00:00-04:00,500.8053082735924,508.320293424543,499.127582756508,499.822509765625,2179700,0.0,0.0,39.870958328302606,46.365387507201454
37,2023-08-11 00:00:00-04:00,501.9568646984858,506.96026019090505,500.5868848366188,504.319580078125,2029300,0.0,0.0,46.1928843877934,46.30788646739877
38,2023-08-14 00:00:00-04:00,505.4512852531597,509.7696908354803,504.5578293420309,507.2183532714844,2127200,0.0,0.0,57.57488166691522,50.063551533904246
39,2023-08-15 00:00:00-04:00,507.8636161373037,509.9186161988191,502.5921930312969,503.0091552734375,1817500,0.0,0.0,54.69528570742725,51.60746292507858
40,2023-08-16 00:00:00-04:00,504.30963403026334,506.7914727804122,499.1771781647667,499.9018859863281,1454100,0.0,0.0,45.12086684802082,49.44526423272599
41,2023-08-17 00:00:00-04:00,491.8805898780428,497.5888189268162,488.2471743610567,490.3716125488281,3009500,0.0,0.0,33.348224176633934,44.079584214028635
42,2023-08-18 00:00:00-04:00,491.1856761817808,497.3009305807467,489.9149759362738,494.819091796875,2364400,0.0,0.0,32.340563841199625,40.16657742308563
